perturbation,severity,time_s,value,window_start_s,window_stop_s
hf_burst,1.6,3.544,0.4056892395019531,1.0,1.496
hf_burst,1.6,3.552,0.4188779592514038,1.0,1.496
hf_burst,1.6,3.56,0.4311566650867462,1.0,1.496
hf_burst,1.6,3.568,0.4202496409416199,1.0,1.496
hf_burst,1.6,3.576,0.36976358294487,1.0,1.496
hf_burst,1.6,3.584,0.2993951141834259,1.0,1.496
hf_burst,1.6,3.592,0.21811363101005554,1.0,1.496
hf_burst,1.6,3.6,0.1475069224834442,1.0,1.496
hf_burst,1.6,3.608,0.08210316300392151,1.0,1.496
hf_burst,1.6,3.616,0.04638403281569481,1.0,1.496
hf_burst,1.6,3.624,0.01737452670931816,1.0,1.496
hf_burst,1.6,3.632,0.0014982287539169192,1.0,1.496
hf_burst,1.6,3.64,-0.0007521482766605914,1.0,1.496
hf_burst,1.6,3.648,-0.008765773847699165,1.0,1.496
hf_burst,1.6,3.656,-0.014673578552901745,1.0,1.496
hf_burst,1.6,3.664,-0.0179283507168293,1.0,1.496
hf_burst,1.6,3.672,-0.0174990426748991,1.0,1.496
hf_burst,1.6,3.68,-0.014284535311162472,1.0,1.496
hf_burst,1.6,3.688,-0.009859678335487843,1.0,1.496
hf_burst,1.6,3.696,-0.010180751793086529,1.0,1.496
hf_burst,1.6,3.704,-0.004752396140247583,1.0,1.496
hf_burst,1.6,3.712,-0.0019306271569803357,1.0,1.496
hf_burst,1.6,3.72,0.00429789163172245,1.0,1.496
hf_burst,1.6,3.728,0.0014155901735648513,1.0,1.496
hf_burst,1.6,3.736,0.005243995692580938,1.0,1.496
emg_noise_floor,0.0,0.0,-0.04934303089976311,1.0,1.944
emg_noise_floor,0.0,0.008,-0.050165653228759766,1.0,1.944
emg_noise_floor,0.0,0.016,-0.06434118747711182,1.0,1.944
emg_noise_floor,0.0,0.024,-0.05033858120441437,1.0,1.944
emg_noise_floor,0.0,0.032,-0.06420852243900299,1.0,1.944
emg_noise_floor,0.0,0.04,-0.048364561051130295,1.0,1.944
emg_noise_floor,0.0,0.048,-0.042772091925144196,1.0,1.944
emg_noise_floor,0.0,0.056,-0.038076434284448624,1.0,1.944
emg_noise_floor,0.0,0.064,-0.009009488858282566,1.0,1.944
emg_noise_floor,0.0,0.072,-0.008452053181827068,1.0,1.944
emg_noise_floor,0.0,0.08,0.013492177240550518,1.0,1.944
emg_noise_floor,0.0,0.088,0.029733439907431602,1.0,1.944
emg_noise_floor,0.0,0.096,0.03738788515329361,1.0,1.944
emg_noise_floor,0.0,0.104,0.07334121316671371,1.0,1.944
emg_noise_floor,0.0,0.112,0.09463784843683243,1.0,1.944
emg_noise_floor,0.0,0.12,0.12890052795410156,1.0,1.944
emg_noise_floor,0.0,0.128,0.152004212141037,1.0,1.944
emg_noise_floor,0.0,0.136,0.20549067854881287,1.0,1.944
emg_noise_floor,0.0,0.144,0.25161266326904297,1.0,1.944
emg_noise_floor,0.0,0.152,0.2678438127040863,1.0,1.944
emg_noise_floor,0.0,0.16,0.32541677355766296,1.0,1.944
emg_noise_floor,0.0,0.168,0.3600480854511261,1.0,1.944
emg_noise_floor,0.0,0.176,0.38528427481651306,1.0,1.944
emg_noise_floor,0.0,0.184,0.3936871886253357,1.0,1.944
emg_noise_floor,0.0,0.192,0.4183368384838104,1.0,1.944
emg_noise_floor,0.0,0.2,0.4072588384151459,1.0,1.944
emg_noise_floor,0.0,0.208,0.34368762373924255,1.0,1.944
emg_noise_floor,0.0,0.216,0.28976601362228394,1.0,1.944
emg_noise_floor,0.0,0.224,0.20699214935302734,1.0,1.944
emg_noise_floor,0.0,0.232,0.13843603432178497,1.0,1.944
emg_noise_floor,0.0,0.24,0.08310885727405548,1.0,1.944
emg_noise_floor,0.0,0.248,0.03372436761856079,1.0,1.944
emg_noise_floor,0.0,0.256,-0.00561410142108798,1.0,1.944
emg_noise_floor,0.0,0.264,-0.01603543944656849,1.0,1.944
emg_noise_floor,0.0,0.272,-0.017631495371460915,1.0,1.944
emg_noise_floor,0.0,0.28,-0.0314662829041481,1.0,1.944
emg_noise_floor,0.0,0.288,-0.04202745854854584,1.0,1.944
emg_noise_floor,0.0,0.296,-0.048681218177080154,1.0,1.944
emg_noise_floor,0.0,0.304,-0.05194411054253578,1.0,1.944
emg_noise_floor,0.0,0.312,-0.03770768269896507,1.0,1.944
emg_noise_floor,0.0,0.32,-0.039939578622579575,1.0,1.944
emg_noise_floor,0.0,0.328,-0.033499911427497864,1.0,1.944
emg_noise_floor,0.0,0.336,-0.039727166295051575,1.0,1.944
emg_noise_floor,0.0,0.344,-0.03593512997031212,1.0,1.944
emg_noise_floor,0.0,0.352,-0.03477104380726814,1.0,1.944
emg_noise_floor,0.0,0.36,-0.03445787727832794,1.0,1.944
emg_noise_floor,0.0,0.368,-0.024548782035708427,1.0,1.944
emg_noise_floor,0.0,0.376,-0.027827098965644836,1.0,1.944
emg_noise_floor,0.0,0.384,-0.014706917107105255,1.0,1.944
emg_noise_floor,0.0,0.392,-0.031349290162324905,1.0,1.944
emg_noise_floor,0.0,0.4,-0.025625133886933327,1.0,1.944
emg_noise_floor,0.0,0.408,-0.03143324330449104,1.0,1.944
emg_noise_floor,0.0,0.416,-0.050789739936590195,1.0,1.944
emg_noise_floor,0.0,0.424,-0.024146318435668945,1.0,1.944
emg_noise_floor,0.0,0.432,-0.039468128234148026,1.0,1.944
emg_noise_floor,0.0,0.44,-0.04041880741715431,1.0,1.944
emg_noise_floor,0.0,0.448,-0.03817347064614296,1.0,1.944
emg_noise_floor,0.0,0.456,-0.05260378122329712,1.0,1.944
emg_noise_floor,0.0,0.464,-0.055761151015758514,1.0,1.944
emg_noise_floor,0.0,0.472,-0.05889887735247612,1.0,1.944
emg_noise_floor,0.0,0.48,-0.04195834696292877,1.0,1.944
emg_noise_floor,0.0,0.488,-0.01737070083618164,1.0,1.944
emg_noise_floor,0.0,0.496,-0.000141824537422508,1.0,1.944
emg_noise_floor,0.0,0.504,0.019817642867565155,1.0,1.944
emg_noise_floor,0.0,0.512,0.02291555516421795,1.0,1.944
emg_noise_floor,0.0,0.52,0.10255810618400574,1.0,1.944
emg_noise_floor,0.0,0.528,0.08520139008760452,1.0,1.944
emg_noise_floor,0.0,0.536,0.06959190219640732,1.0,1.944
