pair_id,direction,control,recipient_class,window_start_s,window_stop_s,accepted,sqi_distance,delta_iSQI,delta_bSQI,delta_pSQI,delta_basSQI,qrs_same,delta_conformer_medium_logit,delta_conformer_bad_logit,delta_mlp_gm_margin,clean_mlp_gm_margin,cand_mlp_gm_margin,cand_conformer_pred
38,good_into_good_same_class,same-class,good,5.52,6.52,1,0.09392428703149962,0.0,0.0,0.0010323911243933503,0.00046710448694631257,1,0.0461273193359375,-0.0501708984375,-0.10352404309208141,-1.78442022544646,-1.8879442685385415,good
38,good_into_medium_top,top-local,medium,5.52,6.52,0,0.3242134534914827,0.0,0.06666666666666221,0.001553784078538123,0.03195652361885004,0,0.06644216179847717,-0.05242919921875,-0.4194811248199555,-1.6520883210632449,-2.0715694458832004,medium
38,good_into_medium_random,random,medium,4.632,5.632,1,0.5447531879460534,0.0,0.0,0.001186811181671854,0.009547803625468476,1,-0.012077510356903076,0.09128952026367188,-0.27003504532513944,-1.6520883210632449,-1.9221233663883843,medium
38,medium_into_medium_same_class,same-class,medium,5.52,6.52,1,0.43975290071501,0.0,0.0,0.001761613804538098,0.021733864245580548,1,0.06133503466844559,-0.014910697937011719,-0.241988102462384,-1.6520883210632449,-1.8940764235256289,medium
39,medium_into_good_top,top-local,good,4.072,5.072,1,0.03859269612898867,0.0,0.0,0.000712068642986452,0.0038135457652509475,1,0.8225820064544678,0.13237762451171875,0.008879900291494103,-1.8610982491400376,-1.8522183488485435,good
39,medium_into_good_random,random,good,1.808,2.808,1,0.08077639208063436,0.0,0.0,0.0034989874643651664,0.0005908452299632216,1,0.37050724029541016,0.05049324035644531,-0.15278864803130254,-1.8610982491400376,-2.01388689717134,good
39,good_into_good_same_class,same-class,good,4.072,5.072,1,0.08547574590080981,0.0,0.0,0.0005272594795067143,0.0010826198457344338,1,0.6738476753234863,0.028922080993652344,0.1070112095647997,-1.8610982491400376,-1.754087039575238,good
39,good_into_medium_top,top-local,medium,4.072,5.072,1,0.10161355162266862,0.0,0.0,0.0008501290422259222,0.00769901226495584,1,0.035816993564367294,-0.026895523071289062,0.045110443326887406,-2.345064763778804,-2.2999543204519166,medium
39,good_into_medium_random,random,medium,1.808,2.808,1,0.03751676120581769,0.0,0.0,0.0004796778372448962,0.00427794100958967,1,-0.015350349247455597,0.06805610656738281,0.08541926849472592,-2.345064763778804,-2.259645495284078,medium
39,medium_into_medium_same_class,same-class,medium,4.072,5.072,1,0.04820117213390487,0.0,0.0,0.002188416766517487,0.002009477455878872,1,0.049204375594854355,-0.01286458969116211,-0.01746837956452918,-2.345064763778804,-2.362533143343333,medium
40,medium_into_good_top,top-local,good,0.784,1.784,0,0.3045475471979044,5.551115123125783e-15,0.005494505494510138,0.001489685388095463,0.013688071460365103,0,0.30391788482666016,0.06169414520263672,-0.16898032302656074,-1.0903070119891178,-1.2592873350156786,good
40,medium_into_good_random,random,good,1.88,2.88,1,0.0766411927501737,0.0,0.0,0.00015642195481746501,0.004357691795029095,1,0.03792142868041992,-0.041614532470703125,0.03709219051950874,-1.0903070119891178,-1.053214821469609,good
40,good_into_good_same_class,same-class,good,0.784,1.784,0,0.5228868635168443,5.551115123125783e-15,0.005494505494510138,0.001126028101075538,0.0015351479930590939,0,-0.1614522933959961,-0.11733531951904297,-0.21364466441213326,-1.0903070119891178,-1.303951676401251,good
40,good_into_medium_top,top-local,medium,0.784,1.784,1,0.11402536187986562,0.0,0.0,0.008650320050098692,0.0173877646865106,1,0.038696326315402985,-0.10933256149291992,-0.08998586957446464,-1.0800035359919333,-1.169989405566398,medium
40,good_into_medium_random,random,medium,1.88,2.88,1,0.023384786980903606,0.0,0.0,0.00048748336879866905,0.0041832150364993215,1,-0.03827495872974396,0.03878164291381836,-0.11979923874226506,-1.0800035359919333,-1.1998027747341984,medium
40,medium_into_medium_same_class,same-class,medium,0.784,1.784,1,0.5369331341001735,0.0,0.0,0.005861490659108681,0.016831127908854993,1,-0.0011265203356742859,-0.04955244064331055,-0.35657777160825255,-1.0800035359919333,-1.4365813076001859,medium
41,medium_into_good_top,top-local,good,8.008,9.008,1,0.2349307077868082,0.0,0.0,0.0007450481858159996,0.005106049593700646,1,0.05487579107284546,-0.09230947494506836,0.1674321822455378,-1.811359084152658,-1.64392690190712,good
41,medium_into_good_random,random,good,4.336,5.336,0,0.5630095998518801,5.551115123125783e-15,0.07142857142856629,5.9366005066285865e-06,0.0031700851161671206,0,0.25078850984573364,0.15307283401489258,-0.3318211636512822,-1.811359084152658,-2.14318024780394,medium
41,good_into_good_same_class,same-class,good,8.008,9.008,0,0.6090923975740559,5.551115123125783e-15,0.005494505494510138,0.0035535435975619922,0.00021833475439558825,0,-0.14946919679641724,-0.06259298324584961,-0.14834586833305852,-1.811359084152658,-1.9597049524857164,good
41,good_into_medium_top,top-local,medium,8.008,9.008,1,0.30208214736677963,0.0,0.0,0.005933700980011003,0.002372319845056148,1,0.11677029728889465,0.08377885818481445,-0.128180488315081,-1.7865430778272395,-1.9147235661423205,medium
41,good_into_medium_random,random,medium,4.336,5.336,0,0.49942239405269984,4.6629367034256575e-15,0.06190476190475336,0.011184239628738601,0.0009221447768872348,0,0.07604700326919556,-0.0943145751953125,-0.19341949671714787,-1.7865430778272395,-1.9799625745443874,medium
41,medium_into_medium_same_class,same-class,medium,8.008,9.008,0,0.5329939886648604,5.551115123125783e-15,0.005494505494510138,0.0003050642926450964,0.01710987924474272,0,0.19346711039543152,0.06932353973388672,-0.3183211626465854,-1.7865430778272395,-2.104864240473825,medium
42,medium_into_good_top,top-local,good,1.64,2.64,0,0.34630173180440643,4.6629367034256575e-15,0.009523809523812932,0.001416890189514186,0.016171279263036298,0,0.6595375835895538,0.1014094352722168,-0.445647805243513,-0.2419263333509214,-0.6875741385944344,medium
42,medium_into_good_random,random,good,5.36,6.36,0,0.2595909089621505,4.6629367034256575e-15,0.009523809523812932,0.0033637084153584906,0.00025411230252780914,0,0.0767596960067749,0.07716035842895508,0.11579628654678153,-0.2419263333509214,-0.12613004680413986,good
42,good_into_good_same_class,same-class,good,1.64,2.64,1,0.9162136843969653,0.0,0.0,0.005926978866438448,0.003947112935284491,1,0.18533551692962646,0.04807233810424805,-0.6343379148814821,-0.2419263333509214,-0.8762642482324035,good
42,good_into_medium_top,top-local,medium,1.64,2.64,0,0.17298429656235254,4.3298697960381105e-15,0.008333333333336523,0.0007089418827168625,0.03171628486477451,0,-0.029440969228744507,-0.013675689697265625,0.04808333897539285,-0.7839397681636816,-0.7358564291882888,medium
42,good_into_medium_random,random,medium,5.36,6.36,0,0.1787399264387904,4.3298697960381105e-15,0.008333333333336523,0.004292151164455693,0.004743809891154416,0,-0.004444047808647156,0.17639493942260742,-0.009767729276924375,-0.7839397681636816,-0.793707497440606,medium
42,medium_into_medium_same_class,same-class,medium,1.64,2.64,0,0.4757865412369914,4.3298697960381105e-15,0.008333333333336523,0.0010832220538455894,0.001715438371549971,0,0.023582197725772858,-0.3280653953552246,-0.34727518667470314,-0.7839397681636816,-1.1312149548383847,medium
43,medium_into_good_top,top-local,good,0.496,1.496,0,0.6653909671277899,6.439293542825908e-15,0.006410256410261828,0.00010819969624764614,0.0033099309541239075,0,0.24431657791137695,0.048067569732666016,-0.22517443530797765,-2.1591363086437725,-2.38431074395175,good
43,medium_into_good_random,random,good,1.432,2.432,1,0.28268526638977415,0.0,0.0,0.0011590887588358578,0.00409918350888494,1,0.7164888381958008,0.31182861328125,0.07768668125192324,-2.1591363086437725,-2.0814496273918492,good
43,good_into_good_same_class,same-class,good,0.496,1.496,0,0.5374998935906153,6.439293542825908e-15,0.07692307692307099,0.00307751613610574,0.0014204157220031322,0,-0.5185414552688599,-0.2941017150878906,-0.18695480611722815,-2.1591363086437725,-2.3460911147610006,good
43,good_into_medium_top,top-local,medium,0.496,1.496,1,0.4779163722358258,0.0,0.0,0.00624419806030041,0.004266612632108924,1,0.0877942442893982,-0.2684788703918457,0.252326942652191,-2.4289820561645037,-2.1766551135123127,medium
43,good_into_medium_random,random,medium,1.432,2.432,1,0.31350372833100243,0.0,0.0,0.00016727876445787881,0.004229203548793303,1,0.024333521723747253,-0.24105119705200195,-0.04946742508583091,-2.4289820561645037,-2.4784494812503346,medium
43,medium_into_medium_same_class,same-class,medium,0.496,1.496,1,0.042590082112435174,0.0,0.0,0.005240627824897426,0.002133250239151674,1,-0.01568862795829773,-0.049932003021240234,0.05241673102052902,-2.4289820561645037,-2.3765653251439747,medium
44,medium_into_good_top,top-local,good,3.696,4.696,0,0.32073188183975226,4.6629367034256575e-15,0.06190476190475336,0.003454974907848185,0.00024599963013127724,0,0.6304134130477905,0.2763395309448242,-0.22770275210547353,-1.0569715598035458,-1.2846743119090194,good
